mode,threads,operations_per_thread,run,expected_value,actual_value,lost_updates,runtime_seconds
Without lock,8,10000,1,80000,22600,57400,0.031897
Without lock,8,10000,2,80000,18745,61255,0.101028
Without lock,8,10000,3,80000,18833,61167,0.117345
Without lock,8,10000,4,80000,17663,62337,0.123497
Without lock,8,10000,5,80000,17394,62606,0.124722
With mutex,8,10000,1,80000,80000,0,0.143049
With mutex,8,10000,2,80000,80000,0,0.109994
With mutex,8,10000,3,80000,80000,0,0.144001
With mutex,8,10000,4,80000,80000,0,0.160722
With mutex,8,10000,5,80000,80000,0,0.163236
Without lock,16,10000,1,160000,24020,135980,0.24084
Without lock,16,10000,2,160000,21686,138314,0.449591
Without lock,16,10000,3,160000,23793,136207,0.286495
Without lock,16,10000,4,160000,21082,138918,0.38897
Without lock,16,10000,5,160000,15283,144717,0.567848
With mutex,16,10000,1,160000,160000,0,0.314022
With mutex,16,10000,2,160000,160000,0,0.329681
With mutex,16,10000,3,160000,160000,0,0.315954
With mutex,16,10000,4,160000,160000,0,0.315693
With mutex,16,10000,5,160000,160000,0,0.358645
